2026-07-10 06:46:57,955 [WARNING] ACK recibido pero contenido inesperado: ',10,70\rS12,274,0'
2026-07-10 06:46:57,998 [WARNING] ACK recibido pero contenido inesperado: '2,7,\rS037,\rS1023,27,\rS12,70'
2026-07-10 06:46:58,034 [WARNING] ACK recibido pero contenido inesperado: '10231,S,123,29,0\r12,7,'
2026-07-10 06:46:58,081 [WARNING] ACK recibido pero contenido inesperado: '7,\r,0790'
2026-07-10 06:46:58,122 [WARNING] ACK recibido pero contenido inesperado: ',1,22,'
2026-07-10 06:46:58,164 [WARNING] ACK recibido pero contenido inesperado: '03,1'
2026-07-10 06:46:58,205 [WARNING] ACK recibido pero contenido inesperado: '223\rS12,030'
2026-07-10 06:46:58,246 [WARNING] ACK recibido pero contenido inesperado: 'S,102,1030'
2026-07-10 06:46:58,283 [WARNING] ACK recibido pero contenido inesperado: '123,,1023,0'
2026-07-10 06:46:58,310 [WARNING] ACK recibido pero contenido inesperado: '323,'
2026-07-10 06:46:58,350 [WARNING] ACK recibido pero contenido inesperado: ',0,03'
2026-07-10 06:46:58,374 [WARNING] ACK recibido pero contenido inesperado: ',3322S,12'
2026-07-10 06:46:58,408 [WARNING] ACK recibido pero contenido inesperado: 'S,10231,010232,'
2026-07-10 06:46:58,450 [WARNING] ACK recibido pero contenido inesperado: ',0312,\r1312,'
2026-07-10 06:46:58,495 [WARNING] ACK recibido pero contenido inesperado: ',1023,1030'
2026-07-10 06:46:58,532 [WARNING] ACK recibido pero contenido inesperado: ',030\r12,1230,312,\rS,10312,\r12,,0'
2026-07-10 06:46:58,573 [WARNING] ACK recibido pero contenido inesperado: ',830'
2026-07-10 06:46:58,612 [WARNING] ACK recibido pero contenido inesperado: '03770'
2026-07-10 06:46:58,653 [WARNING] ACK recibido pero contenido inesperado: '035440'
2026-07-10 06:46:58,696 [WARNING] ACK recibido pero contenido inesperado: ',1034,\rS12,77\rS13450'
2026-07-10 06:46:58,738 [WARNING] ACK recibido pero contenido inesperado: '103400'
2026-07-10 06:46:58,778 [WARNING] ACK recibido pero contenido inesperado: 'S,1023,473,0'
2026-07-10 06:46:58,819 [WARNING] ACK recibido pero contenido inesperado: ',03390'
2026-07-10 06:46:58,857 [WARNING] ACK recibido pero contenido inesperado: '0'
2026-07-10 06:46:58,896 [WARNING] ACK recibido pero contenido inesperado: '2,29,\r123,\rS,,04\rS,,0,\rS23,0,\rS39,S2'
2026-07-10 06:46:58,942 [WARNING] ACK recibido pero contenido inesperado: ',03,5,'
2026-07-10 06:46:58,983 [WARNING] ACK recibido pero contenido inesperado: '03,1,\rS03270'
2026-07-10 06:46:59,022 [WARNING] ACK recibido pero contenido inesperado: ',12,7,\rS12,7,0'
2026-07-10 06:46:59,061 [WARNING] ACK recibido pero contenido inesperado: '2,9'
2026-07-10 06:46:59,103 [WARNING] ACK recibido pero contenido inesperado: '3170'
2026-07-10 06:46:59,154 [WARNING] ACK recibido pero contenido inesperado: '12,6,\rS121,\rS12,6,0'
2026-07-10 06:46:59,191 [WARNING] ACK recibido pero contenido inesperado: ',032,0'
2026-07-10 06:46:59,230 [WARNING] ACK recibido pero contenido inesperado: ',2,90'
2026-07-10 06:46:59,271 [WARNING] ACK recibido pero contenido inesperado: '0316,0\rS03160S123120'
2026-07-10 06:46:59,307 [WARNING] ACK recibido pero contenido inesperado: ',12,6,\rS23110'
2026-07-10 06:46:59,347 [WARNING] ACK recibido pero contenido inesperado: '3,1,\rS1,5,0'
2026-07-10 06:46:59,389 [WARNING] ACK recibido pero contenido inesperado: '02,5,\rS12,5,'
2026-07-10 06:46:59,437 [WARNING] ACK recibido pero contenido inesperado: ',03150\rS,1023,1,\rS12,5,\rS03130,0315,\rS,2,110'
2026-07-10 06:46:59,483 [WARNING] ACK recibido pero contenido inesperado: '2,5,\rS12,40'
2026-07-10 06:46:59,523 [WARNING] ACK recibido pero contenido inesperado: '313\rS,1023,161,0'
2026-07-10 06:46:59,562 [WARNING] ACK recibido pero contenido inesperado: ',03530'
2026-07-10 06:46:59,598 [WARNING] ACK recibido pero contenido inesperado: '0,'
2026-07-10 06:46:59,641 [WARNING] ACK recibido pero contenido inesperado: ',03197,0'
2026-07-10 06:46:59,682 [WARNING] ACK recibido pero contenido inesperado: '235,\r,0380'
2026-07-10 06:46:59,725 [WARNING] ACK recibido pero contenido inesperado: '03220'
2026-07-10 06:46:59,765 [WARNING] ACK recibido pero contenido inesperado: ',02,4,\rS12,3,'
2026-07-10 06:46:59,818 [WARNING] ACK recibido pero contenido inesperado: '23270\rS12,88'
2026-07-10 06:46:59,846 [WARNING] ACK recibido pero contenido inesperado: ',S,3,0136'
2026-07-10 06:46:59,875 [WARNING] ACK recibido pero contenido inesperado: '10325,\rS12,6,'
2026-07-10 06:46:59,912 [WARNING] ACK recibido pero contenido inesperado: 'S,2,\r,037,'
2026-07-10 06:46:59,952 [WARNING] ACK recibido pero contenido inesperado: ',8,'
2026-07-10 06:46:59,988 [WARNING] ACK recibido pero contenido inesperado: '28,0\rS12,91,0'
2026-07-10 06:47:00,024 [WARNING] ACK recibido pero contenido inesperado: 'S,22'
2026-07-10 06:47:00,060 [WARNING] ACK recibido pero contenido inesperado: ',S,0321S,102,290'
2026-07-10 06:47:00,100 [WARNING] ACK recibido pero contenido inesperado: ',S123221023,77,'
2026-07-10 06:47:00,130 [WARNING] ACK recibido pero contenido inesperado: '0'
2026-07-10 06:47:00,164 [WARNING] ACK recibido pero contenido inesperado: ','
2026-07-10 06:47:00,194 [WARNING] ACK recibido pero contenido inesperado: ',0'
2026-07-10 06:47:00,226 [WARNING] ACK recibido pero contenido inesperado: ''
2026-07-10 06:47:00,255 [WARNING] ACK recibido pero contenido inesperado: ',102,30\rS,03230'
2026-07-10 06:47:00,290 [WARNING] ACK recibido pero contenido inesperado: ''
2026-07-10 06:47:00,329 [WARNING] ACK recibido pero contenido inesperado: ',\rS,03,3\rS1023,7,0\rS,033,0'
2026-07-10 06:47:00,361 [WARNING] ACK recibido pero contenido inesperado: '1226'
2026-07-10 06:47:00,412 [WARNING] ACK recibido pero contenido inesperado: '1S1,\r132,102790\rA\r02,8\r,0,9,'
2026-07-10 06:47:00,444 [WARNING] ACK recibido pero contenido inesperado: 'S03260'
2026-07-10 06:47:00,477 [WARNING] ACK recibido pero contenido inesperado: 'S13265,0\rS,10229,'
2026-07-10 06:47:00,508 [WARNING] ACK recibido pero contenido inesperado: ''
2026-07-10 06:47:00,541 [WARNING] ACK recibido pero contenido inesperado: '159,0'
2026-07-10 06:47:00,570 [WARNING] ACK recibido pero contenido inesperado: '12710,5,0'
2026-07-10 06:47:00,606 [WARNING] ACK recibido pero contenido inesperado: '36,01,27,0'
2026-07-10 06:47:00,635 [WARNING] ACK recibido pero contenido inesperado: '10325,'
2026-07-10 06:47:00,673 [WARNING] ACK recibido pero contenido inesperado: '17,\rS130'
2026-07-10 06:47:00,702 [WARNING] ACK recibido pero contenido inesperado: '103,2630'
2026-07-10 06:47:00,744 [WARNING] ACK recibido pero contenido inesperado: 'S3\rS,13,50,\rS12,20238,0\rA\r,329\rS02,7,\rS03280'
2026-07-10 06:47:00,779 [WARNING] ACK recibido pero contenido inesperado: '3250'
2026-07-10 06:47:00,813 [WARNING] ACK recibido pero contenido inesperado: '12,25,\rS,03,24'
2026-07-10 06:47:00,854 [WARNING] ACK recibido pero contenido inesperado: '3,,0S02,\rS1023,262,0'
2026-07-10 06:47:00,885 [WARNING] ACK recibido pero contenido inesperado: '3220'
2026-07-10 06:47:00,923 [WARNING] ACK recibido pero contenido inesperado: '5,0\rS12,4,032'
2026-07-10 06:47:00,954 [WARNING] ACK recibido pero contenido inesperado: 'S,03260'
2026-07-10 06:47:00,984 [WARNING] ACK recibido pero contenido inesperado: '36,\rS3,273,0'
2026-07-10 06:47:01,021 [WARNING] ACK recibido pero contenido inesperado: '5'
2026-07-10 06:47:01,060 [WARNING] ACK recibido pero contenido inesperado: '60\rS12,54,S,102,26,0S,0328,0S12,57,0\r023,20,0S10,71S,10262,0'
2026-07-10 06:47:01,102 [WARNING] ACK recibido pero contenido inesperado: '630'
2026-07-10 06:47:01,135 [WARNING] ACK recibido pero contenido inesperado: '480'
2026-07-10 06:47:01,163 [WARNING] ACK recibido pero contenido inesperado: '580'
