rms_biceps,mav_biceps,wl_biceps,ZCR_biceps,rms_triceps,mav_triceps,wl_triceps,ZCR_triceps,rms_antebrazo,mav_antebrazo,wl_antebrazo,ZCR_antebrazo,angulo_codo,angulo_muneca,pct_mvc_rms_biceps,pct_mvc_rms_biceps_crudo,pct_mvc_mav_biceps,pct_mvc_mav_biceps_crudo,pct_mvc_wl_biceps,pct_mvc_wl_biceps_crudo,pct_mvc_ZCR_biceps,pct_mvc_ZCR_biceps_crudo,pct_mvc_rms_triceps,pct_mvc_rms_triceps_crudo,pct_mvc_mav_triceps,pct_mvc_mav_triceps_crudo,pct_mvc_wl_triceps,pct_mvc_wl_triceps_crudo,pct_mvc_ZCR_triceps,pct_mvc_ZCR_triceps_crudo,pct_mvc_rms_antebrazo,pct_mvc_rms_antebrazo_crudo,pct_mvc_mav_antebrazo,pct_mvc_mav_antebrazo_crudo,pct_mvc_wl_antebrazo,pct_mvc_wl_antebrazo_crudo,pct_mvc_ZCR_antebrazo,pct_mvc_ZCR_antebrazo_crudo,saturado_algun_canal
8.725355,4.69983,243.185537,23.0,73.748415,55.782648,6931.972434,43.0,2.871555,1.680912,98.85456,23.0,90.0,0.0,5.723316162513123,5.723316162513123,3.4019181557022966,3.4019181557022966,0.6721344916351845,0.6721344916351845,0.0,-26.696832579185514,0.0,-4.252742331900349,0.0,-7.4346352896775905,0.0,-12.682582757937636,0.0,-73.5895846249225,3.5303578706972885,3.5303578706972885,1.7455633480278991,1.7455633480278991,0.0,-1.43910673500461,0.0,-30.565583634175685,False
4.258041,2.758469,160.271513,24.0,75.313661,57.38541,7164.214292,44.0,1.528443,1.05467,77.622614,26.0,90.0,0.0,0.9413301255734252,0.9413301255734252,0.0,-0.0682402134331142,0.0,-2.151171542036322,0.0,-22.00435729847494,0.0,-3.437402678522461,0.0,-6.426087032149444,0.0,-11.201678820202376,0.0,-56.23062616243024,0.0,-0.09714306495989947,0.0,-1.2772989992166868,0.0,-3.70824302112804,0.0,-17.930204572803845,False
2.483919,1.977214,133.339137,25.0,76.026097,58.52955,7440.106234,46.0,0.99103,0.780912,69.504413,27.0,90.0,0.0,0.0,-0.9577588195572575,0.0,-1.4647236993375308,0.0,-3.0682460729010854,0.0,-17.311882017764365,0.0,-3.0662933951932425,0.0,-5.706129606550224,0.0,-9.442437541236941,0.0,-21.512709237445744,0.0,-1.5485977167940999,0.0,-2.598725461282443,0.0,-4.5758650689207165,0.0,-13.718411552346566,False
2.09595,1.704134,127.736054,26.0,75.566097,57.775746,7382.179669,47.0,0.879404,0.726136,65.606695,28.0,90.0,0.0,0.0,-1.373055872946712,0.0,-1.9528507645477093,0.0,-3.259036692845695,0.0,-12.61940673705379,0.0,-3.3059082803638953,0.0,-6.180465603234542,0.0,-9.811809707592833,0.0,-4.153750774953496,0.0,-1.8500792160612265,0.0,-2.8631285321922024,0.0,-4.992428550519456,0.0,-9.506618531889286,False
2.054524,1.640779,127.314023,29.0,76.788845,59.605849,7558.835326,47.0,0.832416,0.687413,69.310851,32.0,90.0,0.0,0.0,-1.417399868816773,0.0,-2.0660970301709365,0.0,-3.2734072734931425,1.4580191050779339,1.4580191050779339,0.0,-2.668976494249443,0.0,-5.02886156486388,0.0,-8.68535446680454,0.0,-4.153750774953496,0.0,-1.9769852476986922,0.0,-3.050043971706563,0.0,-4.596551752930492,7.340553549939835,7.340553549939835,False
2.020283,1.605569,128.283594,30.0,76.135006,58.770876,7656.522527,47.0,0.873469,0.711895,73.332935,33.0,90.0,0.0,0.0,-1.4540527622312165,0.0,-2.1290344623008997,0.0,-3.240392404327308,6.150494385788508,6.150494385788508,0.0,-3.0095624875213867,0.0,-5.554273674854664,0.0,-8.06244625433564,0.0,-4.153750774953496,0.0,-1.8661085703169589,0.0,-2.93186966211819,0.0,-4.166696818755524,11.552346570397114,11.552346570397114,False
2.079168,1.657841,131.215289,28.0,72.004088,55.938995,7510.447626,49.0,0.874989,0.716978,74.462406,36.0,90.0,0.0,0.0,-1.391019976135322,0.0,-2.0355989197761217,0.0,-3.140565236580816,0.0,-3.2344561756326407,0.0,-5.161365622780943,0.0,-7.336252938199486,0.0,-8.993901496547787,30.564166150031003,30.564166150031003,0.0,-1.8620033271040333,0.0,-2.907334084320718,0.0,-4.0459860920880715,24.187725631768956,24.187725631768956,False
2.131594,1.691395,138.941733,29.0,71.798028,55.722721,7507.173515,49.0,0.885237,0.728058,74.911339,35.0,90.0,0.0,0.0,-1.3349011539588194,0.0,-1.9756215668170534,0.0,-2.877472035797014,1.4580191050779339,1.4580191050779339,0.0,-5.268702673298908,0.0,-7.472344738384818,0.0,-9.014779058905567,30.564166150031003,30.564166150031003,0.0,-1.8343253452316244,0.0,-2.8538510620905417,0.0,-3.9980069685381983,19.975932611311677,19.975932611311677,False
2.187151,1.765968,141.62448,26.0,70.372531,55.122294,7388.554839,49.0,0.88973,0.737796,77.738679,37.0,90.0,0.0,0.0,-1.2754307880400015,0.0,-1.8423232672934022,0.0,-2.7861217982073616,0.0,-12.61940673705379,0.0,-6.011246803660029,0.0,-7.8501672751200635,0.0,-9.771158059186144,30.564166150031003,30.564166150031003,0.0,-1.8221905703923649,0.0,-2.806845857173804,0.0,-3.695838727002154,28.399518652226234,28.399518652226234,False
2.312987,1.838309,147.558389,26.0,70.320264,55.636711,7434.280238,48.0,0.870993,0.73005,76.474359,38.0,90.0,0.0,0.0,-1.1407310568493252,0.0,-1.7130146396957404,0.0,-2.584066219732993,0.0,-12.61940673705379,0.0,-6.038472784536583,0.0,-7.526467081957973,0.0,-9.479587349165316,13.205207687538753,13.205207687538753,0.0,-1.8727957954453824,0.0,-2.844235702859268,0.0,-3.830961263074522,32.61131167268352,32.61131167268352,False
