timestamp_ms,emg_raw,lead_off
0,301,0
0,277,0
1,261,0
1,246,0
2,234,0
2,226,0
2,220,0
3,214,0
3,209,0
4,205,0
4,196,0
5,189,0
7,179,0
8,171,0
8,166,0
9,160,0
10,154,0
11,150,0
11,147,0
12,144,0
13,139,0
14,133,0
15,128,0
16,125,0
16,126,0
17,126,0
18,128,0
19,129,0
20,129,0
21,130,0
21,131,0
22,131,0
23,135,0
24,139,0
25,141,0
26,141,0
26,137,0
27,136,0
28,133,0
29,131,0
30,129,0
31,128,0
31,127,0
32,125,0
33,121,0
34,117,0
35,115,0
36,115,0
36,117,0
37,118,0
38,121,0
39,122,0
40,124,0
41,124,0
41,125,0
42,126,0
43,131,0
44,135,0
45,137,0
46,136,0
46,133,0
47,131,0
49,128,0
50,126,0
51,124,0
51,124,0
52,123,0
53,119,0
54,115,0
55,113,0
56,111,0
56,112,0
57,114,0
58,117,0
59,119,0
60,119,0
61,121,0
61,123,0
62,124,0
63,128,0
64,132,0
65,135,0
66,136,0
66,133,0
67,130,0
68,129,0
69,127,0
70,125,0
71,123,0
71,123,0
72,121,0
73,117,0
74,114,0
75,111,0
76,111,0
76,112,0
77,115,0
78,117,0
79,119,0
80,120,0
81,122,0
81,123,0
82,124,0
83,128,0
84,133,0
85,135,0
86,134,0
86,131,0
87,130,0
88,128,0
89,126,0
90,123,0
90,123,0
92,121,0
93,120,0
94,115,0
95,112,0
96,111,0
96,112,0
97,113,0
98,115,0
99,118,0
100,120,0
101,118,0
102,117,0
103,112,0
103,113,0
104,111,0
105,107,0
106,166,0
107,172,0
108,150,0
109,137,0
110,128,0
111,122,0
112,116,0
113,112,0
113,108,0
114,103,0
115,102,0
116,103,0
117,105,0
118,109,0
119,110,0
120,111,0
121,112,0
122,114,0
123,118,0
124,122,0
124,125,0
125,125,0
126,122,0
127,120,0
128,118,0
129,116,0
130,115,0
131,114,0
132,112,0
133,108,0
135,102,0
135,102,0
136,101,0
137,104,0
138,106,0
139,108,0
140,110,0
141,110,0
142,111,0
143,113,0
144,118,0
145,122,0
146,124,0
146,122,0
147,120,0
148,118,0
149,115,0
150,113,0
151,112,0
152,112,0
153,110,0
154,104,0
155,102,0
156,100,0
156,102,0
157,103,0
158,105,0
159,108,0
160,111,0
161,111,0
162,112,0
163,116,0
164,121,0
165,122,0
166,122,0
167,121,0
167,119,0
168,116,0
169,114,0
170,113,0
171,111,0
172,110,0
173,106,0
174,102,0
175,101,0
177,101,0
178,104,0
178,106,0
179,108,0
180,109,0
181,110,0
182,112,0
183,115,0
184,120,0
185,123,0
186,124,0
187,122,0
188,120,0
189,118,0
189,115,0
190,114,0
191,113,0
192,112,0
193,109,0
194,104,0
195,102,0
196,101,0
197,103,0
198,105,0
199,108,0
199,110,0
200,112,0
201,113,0
202,113,0
203,118,0
204,123,0
205,125,0
206,123,0
207,121,0
208,119,0
209,116,0
210,114,0
210,112,0
211,112,0
212,111,0
213,105,0
214,102,0
215,101,0
216,101,0
217,103,0
218,106,0
220,109,0
221,110,0
221,112,0
222,113,0
223,116,0
224,120,0
225,123,0
226,124,0
227,123,0
228,120,0
229,118,0
230,116,0
231,113,0
232,112,0
232,111,0
233,107,0
234,103,0
235,102,0
236,102,0
237,104,0
238,105,0
239,108,0
240,109,0
241,111,0
242,113,0
242,114,0
243,119,0
244,123,0
245,124,0
246,122,0
247,120,0
248,118,0
249,117,0
250,115,0
251,114,0
252,112,0
253,110,0
253,105,0
254,102,0
255,101,0
256,103,0
257,105,0
258,108,0
259,110,0
260,111,0
261,112,0
263,113,0
264,116,0
265,122,0
265,124,0
266,125,0
267,122,0
268,119,0
269,116,0
270,114,0
271,114,0
272,114,0
273,114,0
274,110,0
275,107,0
275,105,0
276,107,0
277,108,0
278,111,0
279,115,0
280,118,0
281,119,0
282,120,0
283,122,0
284,126,0
285,129,0
286,131,0
286,129,0
287,126,0
288,123,0
289,122,0
290,120,0
291,119,0
292,119,0
293,117,0
294,112,0
295,109,0
296,109,0
296,111,0
297,113,0
298,116,0
299,118,0
300,119,0
301,120,0
302,122,0
303,126,0
305,131,0
306,133,0
307,132,0
308,130,0
308,127,0
309,125,0
310,123,0
311,122,0
312,121,0
313,120,0
314,114,0
315,111,0
316,109,0
317,111,0
318,113,0
318,116,0
319,118,0
320,119,0
321,120,0
322,122,0
323,123,0
324,130,0
325,133,0
326,134,0
327,132,0
328,129,0
329,128,0
329,124,0
330,123,0
331,122,0
332,121,0
333,118,0
334,113,0
335,111,0
336,109,0
337,111,0
338,114,0
339,117,0
339,119,0
340,121,0
341,122,0
342,123,0
343,127,0
344,131,0
345,133,0
346,133,0
348,130,0
349,128,0
350,126,0
351,124,0
351,122,0
352,120,0
353,119,0
354,115,0
355,111,0
356,111,0
357,112,0
358,113,0
359,116,0
360,118,0
361,120,0
361,122,0
362,123,0
363,126,0
364,131,0
365,133,0
366,133,0
367,131,0
368,128,0
369,127,0
370,125,0
371,123,0
372,122,0
372,121,0
373,116,0
374,112,0
375,110,0
376,111,0
377,113,0
378,115,0
379,117,0
380,119,0
381,120,0
382,122,0
382,123,0
383,128,0
384,133,0
385,134,0
386,133,0
387,130,0
388,128,0
389,125,0
391,124,0
392,122,0
393,122,0
394,119,0
394,114,0
395,112,0
396,111,0
397,112,0
398,115,0
399,117,0
400,119,0
401,121,0
402,122,0
403,123,0
404,127,0
404,132,0
405,132,0
406,133,0
407,131,0
408,129,0
409,127,0
410,124,0
411,121,0
412,121,0
413,120,0
414,116,0
415,112,0
415,111,0
416,111,0
417,113,0
418,114,0
419,117,0
420,119,0
421,122,0
422,122,0
423,125,0
424,130,0
425,133,0
425,134,0
426,131,0
427,130,0
428,128,0
429,126,0
430,124,0
431,122,0
433,122,0
434,118,0
435,113,0
436,111,0
437,111,0
437,113,0
438,116,0
439,118,0
440,120,0
441,121,0
442,122,0
443,122,0
444,128,0
